Type                                                                                 : SFF-8636

Identifier [128]                                                                     : QSFP28 or later with SFF-8636 management interface (SFF-8665 et al.) (0x11)

Extended Identifier [129, 7-6]                                                       : Power Class 4 (3.5 W max.) and Power Classes 5, 6 or 7
Extended Identifier [129, 5]                                                         : Power Class 8 not implemented
Extended Identifier [129, 4]                                                         : No CLEI code present in Page 02h
Extended Identifier [129, 3]                                                         : CDR present in Tx
Extended Identifier [129, 2]                                                         : CDR present in Rx
Extended Identifier [129, 1-0]                                                       : Power Classes 1 to 4

Connector Type [130]                                                                 : LC (Lucent Connector) (0x07)

Specification Compliance, 10/40G/100G Ethernet Compliance Codes [131, 7]             : Extended
Specification Compliance, 10/40G/100G Ethernet Compliance Codes [131, 6]             : Not 10GBASE-LRM compliant
Specification Compliance, 10/40G/100G Ethernet Compliance Codes [131, 5]             : Not 10GBASE-LR compliant
Specification Compliance, 10/40G/100G Ethernet Compliance Codes [131, 4]             : Not 10GBASE-SR compliant
Specification Compliance, 10/40G/100G Ethernet Compliance Codes [131, 3]             : Not 40GBASE-CR4 compliant
Specification Compliance, 10/40G/100G Ethernet Compliance Codes [131, 2]             : Not 40GBASE-SR4 compliant
Specification Compliance, 10/40G/100G Ethernet Compliance Codes [131, 1]             : Not 40GBASE-LR4 compliant
Specification Compliance, 10/40G/100G Ethernet Compliance Codes [131, 0]             : Not 40G Active Cable (XLPPI) compliant

Specification Compliance, SONET Compliance Codes [132, 7]                            : N/A
Specification Compliance, SONET Compliance Codes [132, 6]                            : N/A
Specification Compliance, SONET Compliance Codes [132, 5]                            : N/A
Specification Compliance, SONET Compliance Codes [132, 4]                            : N/A
Specification Compliance, SONET Compliance Codes [132, 3]                            : N/A
Specification Compliance, SONET Compliance Codes [132, 2]                            : Not OC 48, long reach compliant
Specification Compliance, SONET Compliance Codes [132, 1]                            : Not OC 48, intermediate reach compliant
Specification Compliance, SONET Compliance Codes [132, 0]                            : Not OC 48, short reach compliant

Specification Compliance, SAS/SATA Compliance Codes [133, 7]                         : Not SAS 24.0 Gbps compliant
